variation = -0.600000, temp_variance = 0.021483, temp_sum = 189.199846, temp_average = 0.267988, count = 706
variation = -0.595000, temp_variance = 0.021921, temp_sum = 191.918622, temp_average = 0.271839, count = 706
variation = -0.590000, temp_variance = 0.022624, temp_sum = 194.333324, temp_average = 0.275260, count = 706
variation = -0.585000, temp_variance = 0.023352, temp_sum = 196.759731, temp_average = 0.278697, count = 706
variation = -0.580000, temp_variance = 0.024082, temp_sum = 199.224986, temp_average = 0.282188, count = 706
variation = -0.575000, temp_variance = 0.024845, temp_sum = 201.690247, temp_average = 0.285680, count = 706
variation = -0.570000, temp_variance = 0.025545, temp_sum = 204.272287, temp_average = 0.289338, count = 706
variation = -0.565000, temp_variance = 0.026186, temp_sum = 206.962351, temp_average = 0.293148, count = 706
variation = -0.560000, temp_variance = 0.026808, temp_sum = 209.707836, temp_average = 0.297037, count = 706
variation = -0.555000, temp_variance = 0.027409, temp_sum = 212.510372, temp_average = 0.301006, count = 706
variation = -0.550000, temp_variance = 0.028250, temp_sum = 215.063502, temp_average = 0.304623, count = 706
variation = -0.545000, temp_variance = 0.028544, temp_sum = 218.278578, temp_average = 0.309176, count = 706
variation = -0.540000, temp_variance = 0.029086, temp_sum = 221.231987, temp_average = 0.313360, count = 706
variation = -0.535000, temp_variance = 0.029594, temp_sum = 224.247886, temp_average = 0.317632, count = 706
variation = -0.530000, temp_variance = 0.030123, temp_sum = 227.263792, temp_average = 0.321903, count = 706
variation = -0.525000, temp_variance = 0.030657, temp_sum = 230.295655, temp_average = 0.326198, count = 706
variation = -0.520000, temp_variance = 0.031180, temp_sum = 233.361933, temp_average = 0.330541, count = 706
variation = -0.515000, temp_variance = 0.031722, temp_sum = 236.428218, temp_average = 0.334884, count = 706
variation = -0.510000, temp_variance = 0.032280, temp_sum = 239.498412, temp_average = 0.339233, count = 706
variation = -0.505000, temp_variance = 0.032710, temp_sum = 242.720423, temp_average = 0.343797, count = 706
variation = -0.500000, temp_variance = 0.033345, temp_sum = 245.749823, temp_average = 0.348088, count = 706
variation = -0.495000, temp_variance = 0.033600, temp_sum = 249.179230, temp_average = 0.352945, count = 706
variation = -0.490000, temp_variance = 0.034069, temp_sum = 252.408644, temp_average = 0.357519, count = 706
variation = -0.485000, temp_variance = 0.034553, temp_sum = 255.638065, temp_average = 0.362094, count = 706
variation = -0.480000, temp_variance = 0.035052, temp_sum = 258.867493, temp_average = 0.366668, count = 706
variation = -0.475000, temp_variance = 0.035517, temp_sum = 262.143710, temp_average = 0.371308, count = 706
variation = -0.470000, temp_variance = 0.035939, temp_sum = 265.473581, temp_average = 0.376025, count = 706
variation = -0.465000, temp_variance = 0.036374, temp_sum = 268.803459, temp_average = 0.380741, count = 706
variation = -0.460000, temp_variance = 0.036281, temp_sum = 254.071396, temp_average = 0.375845, count = 676
variation = -0.455000, temp_variance = 0.034970, temp_sum = 219.870197, temp_average = 0.358095, count = 614
variation = -0.450000, temp_variance = 0.035350, temp_sum = 220.893318, temp_average = 0.361528, count = 611
variation = -0.445000, temp_variance = 0.034986, temp_sum = 211.734443, temp_average = 0.358265, count = 591
variation = -0.440000, temp_variance = 0.034787, temp_sum = 208.684550, temp_average = 0.359182, count = 581
variation = -0.435000, temp_variance = 0.033626, temp_sum = 193.541871, temp_average = 0.351256, count = 551
variation = -0.430000, temp_variance = 0.033290, temp_sum = 190.339119, temp_average = 0.351828, count = 541
variation = -0.425000, temp_variance = 0.033261, temp_sum = 190.062737, temp_average = 0.354595, count = 536
variation = -0.420000, temp_variance = 0.031882, temp_sum = 177.843906, temp_average = 0.348031, count = 511
variation = -0.415000, temp_variance = 0.031964, temp_sum = 180.515408, temp_average = 0.353259, count = 511
variation = -0.410000, temp_variance = 0.031447, temp_sum = 177.197374, temp_average = 0.353687, count = 501
variation = -0.405000, temp_variance = 0.030844, temp_sum = 173.813373, temp_average = 0.353999, count = 491
variation = -0.400000, temp_variance = 0.029916, temp_sum = 167.395296, temp_average = 0.351671, count = 476
variation = -0.395000, temp_variance = 0.029917, temp_sum = 169.938444, temp_average = 0.357014, count = 476
variation = -0.390000, temp_variance = 0.028609, temp_sum = 160.449330, temp_average = 0.351863, count = 456
variation = -0.385000, temp_variance = 0.028476, temp_sum = 161.685556, temp_average = 0.356136, count = 454
variation = -0.380000, temp_variance = 0.027906, temp_sum = 159.271613, temp_average = 0.357111, count = 446
variation = -0.375000, temp_variance = 0.027554, temp_sum = 158.633631, temp_average = 0.359713, count = 441
variation = -0.370000, temp_variance = 0.027557, temp_sum = 160.991556, temp_average = 0.365060, count = 441
variation = -0.365000, temp_variance = 0.026934, temp_sum = 157.335252, temp_average = 0.365047, count = 431
variation = -0.360000, temp_variance = 0.026622, temp_sum = 156.634816, temp_average = 0.367687, count = 426
variation = -0.355000, temp_variance = 0.025205, temp_sum = 146.852910, temp_average = 0.361707, count = 406
variation = -0.350000, temp_variance = 0.024404, temp_sum = 142.993493, temp_average = 0.361095, count = 396
variation = -0.345000, temp_variance = 0.024407, temp_sum = 145.108943, temp_average = 0.366437, count = 396
variation = -0.340000, temp_variance = 0.023631, temp_sum = 141.203213, temp_average = 0.365811, count = 386
variation = -0.335000, temp_variance = 0.023632, temp_sum = 143.263764, temp_average = 0.371150, count = 386
variation = -0.330000, temp_variance = 0.023633, temp_sum = 145.324319, temp_average = 0.376488, count = 386
variation = -0.325000, temp_variance = 0.022919, temp_sum = 141.347961, temp_average = 0.375925, count = 376
variation = -0.320000, temp_variance = 0.022922, temp_sum = 143.356628, temp_average = 0.381268, count = 376
variation = -0.315000, temp_variance = 0.022215, temp_sum = 139.317754, temp_average = 0.380650, count = 366
variation = -0.310000, temp_variance = 0.020630, temp_sum = 129.218188, temp_average = 0.373463, count = 346
variation = -0.305000, temp_variance = 0.019697, temp_sum = 125.029071, temp_average = 0.372110, count = 336
variation = -0.300000, temp_variance = 0.019701, temp_sum = 126.823998, temp_average = 0.377452, count = 336
variation = -0.295000, temp_variance = 0.019247, temp_sum = 125.594650, temp_average = 0.379440, count = 331
variation = -0.290000, temp_variance = 0.019249, temp_sum = 127.362009, temp_average = 0.384779, count = 331
variation = -0.285000, temp_variance = 0.019253, temp_sum = 129.129372, temp_average = 0.390119, count = 331
variation = -0.280000, temp_variance = 0.018480, temp_sum = 124.872827, temp_average = 0.389012, count = 321
variation = -0.275000, temp_variance = 0.018080, temp_sum = 123.574330, temp_average = 0.391058, count = 316
variation = -0.270000, temp_variance = 0.017271, temp_sum = 119.258375, temp_average = 0.389733, count = 306
variation = -0.265000, temp_variance = 0.017276, temp_sum = 120.893110, temp_average = 0.395076, count = 306
variation = -0.260000, temp_variance = 0.017281, temp_sum = 122.527848, temp_average = 0.400418, count = 306
variation = -0.255000, temp_variance = 0.017286, temp_sum = 124.162590, temp_average = 0.405760, count = 306
variation = -0.250000, temp_variance = 0.017291, temp_sum = 125.797335, temp_average = 0.411102, count = 306
variation = -0.245000, temp_variance = 0.017297, temp_sum = 127.432083, temp_average = 0.416445, count = 306
variation = -0.240000, temp_variance = 0.016562, temp_sum = 121.238450, temp_average = 0.413783, count = 293
variation = -0.235000, temp_variance = 0.015802, temp_sum = 115.591055, temp_average = 0.411356, count = 281
variation = -0.230000, temp_variance = 0.014625, temp_sum = 108.042463, temp_average = 0.406175, count = 266
variation = -0.225000, temp_variance = 0.013743, temp_sum = 103.451562, temp_average = 0.404108, count = 256
variation = -0.220000, temp_variance = 0.012752, temp_sum = 98.805890, temp_average = 0.401650, count = 246
variation = -0.215000, temp_variance = 0.012756, temp_sum = 100.117952, temp_average = 0.406984, count = 246
variation = -0.210000, temp_variance = 0.011733, temp_sum = 95.423127, temp_average = 0.404335, count = 236
variation = -0.205000, temp_variance = 0.011734, temp_sum = 96.679622, temp_average = 0.409659, count = 236
variation = -0.200000, temp_variance = 0.011735, temp_sum = 97.936120, temp_average = 0.414984, count = 236
variation = -0.195000, temp_variance = 0.011736, temp_sum = 99.192620, temp_average = 0.420308, count = 236
variation = -0.190000, temp_variance = 0.011738, temp_sum = 100.449122, temp_average = 0.425632, count = 236
variation = -0.185000, temp_variance = 0.011739, temp_sum = 101.705627, temp_average = 0.430956, count = 236
variation = -0.180000, temp_variance = 0.011386, temp_sum = 99.951289, temp_average = 0.432690, count = 231
variation = -0.175000, temp_variance = 0.010601, temp_sum = 95.141445, temp_average = 0.430504, count = 221
variation = -0.170000, temp_variance = 0.009748, temp_sum = 90.305946, temp_average = 0.427990, count = 211
variation = -0.165000, temp_variance = 0.009751, temp_sum = 91.429928, temp_average = 0.433317, count = 211
variation = -0.160000, temp_variance = 0.009755, temp_sum = 92.553913, temp_average = 0.438644, count = 211
variation = -0.155000, temp_variance = 0.008947, temp_sum = 87.661790, temp_average = 0.436128, count = 201
variation = -0.150000, temp_variance = 0.008955, temp_sum = 88.734672, temp_average = 0.441466, count = 201
variation = -0.145000, temp_variance = 0.008104, temp_sum = 83.787236, temp_average = 0.438677, count = 191
variation = -0.140000, temp_variance = 0.008108, temp_sum = 84.804292, temp_average = 0.444002, count = 191
variation = -0.135000, temp_variance = 0.008113, temp_sum = 85.821349, temp_average = 0.449326, count = 191
variation = -0.130000, temp_variance = 0.007736, temp_sum = 83.827881, temp_average = 0.450688, count = 186
variation = -0.125000, temp_variance = 0.007739, temp_sum = 84.816998, temp_average = 0.456005, count = 186
variation = -0.120000, temp_variance = 0.006949, temp_sum = 79.760297, temp_average = 0.453184, count = 176
variation = -0.115000, temp_variance = 0.006956, temp_sum = 80.698430, temp_average = 0.458514, count = 176
variation = -0.110000, temp_variance = 0.006156, temp_sum = 75.612300, temp_average = 0.455496, count = 166
variation = -0.105000, temp_variance = 0.006160, temp_sum = 76.494475, temp_average = 0.460810, count = 166
variation = -0.100000, temp_variance = 0.006163, temp_sum = 77.376652, temp_average = 0.466124, count = 166
variation = -0.095000, temp_variance = 0.006167, temp_sum = 78.258831, temp_average = 0.471439, count = 166
variation = -0.090000, temp_variance = 0.006170, temp_sum = 79.141011, temp_average = 0.476753, count = 166
variation = -0.085000, temp_variance = 0.005586, temp_sum = 74.001473, temp_average = 0.474368, count = 156
variation = -0.080000, temp_variance = 0.005245, temp_sum = 71.809294, temp_average = 0.475558, count = 151
variation = -0.075000, temp_variance = 0.005255, temp_sum = 72.615202, temp_average = 0.480895, count = 151
variation = -0.070000, temp_variance = 0.004955, temp_sum = 70.400772, temp_average = 0.482197, count = 146
variation = -0.065000, temp_variance = 0.004968, temp_sum = 71.181278, temp_average = 0.487543, count = 146
